Course: BI320, Instructor: Leslie Adrianne Coonrod, Taught Count: 2, Aprec Avg: 23.99%, Failprec Avg: 9.16%, Faculty Status: 0
Course: BI322, Instructor: Philip Eric Washbourne, Taught Count: 3, Aprec Avg: 32.99%, Failprec Avg: 0.48%, Faculty Status: 1
Course: BI322, Instructor: Amy Alexis Connolly, Taught Count: 2, Aprec Avg: 36.67%, Failprec Avg: 2.90%, Faculty Status: 0
Course: BI322, Instructor: Nicola Caroline Barber, Taught Count: 1, Aprec Avg: 39.73%, Failprec Avg: 2.74%, Faculty Status: 0
Course: BI322, Instructor: Anne Elizabeth Dietz Zemper, Taught Count: 1, Aprec Avg: 22.00%, Failprec Avg: 2.00%, Faculty Status: 0
Course: BI328, Instructor: Bethany Anne Rader, Taught Count: 1, Aprec Avg: 16.07%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI328, Instructor: Avinash Deep Bala Singh, Taught Count: 2, Aprec Avg: 24.11%, Failprec Avg: 3.34%, Faculty Status: 0
Course: BI328, Instructor: Adam Christopher Miller, Taught Count: 1, Aprec Avg: 50.00%, Failprec Avg: 1.52%, Faculty Status: 0
Course: BI330, Instructor: Ann Maureen Womack, Taught Count: 1, Aprec Avg: 16.83%, Failprec Avg: 3.96%, Faculty Status: 0
Course: BI330, Instructor: Jeneva Koryn Anderson, Taught Count: 1, Aprec Avg: 24.77%, Failprec Avg: 7.34%, Faculty Status: 0
Course: BI330, Instructor: Adam Saunders, Taught Count: 2, Aprec Avg: 32.88%, Failprec Avg: 2.84%, Faculty Status: 0
Course: BI331, Instructor: Alan James Kelly, Taught Count: 16, Aprec Avg: 31.72%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI353, Instructor: Terry Takahashi, Taught Count: 5, Aprec Avg: 15.90%, Failprec Avg: 5.65%, Faculty Status: 1
Course: BI355, Instructor: Ann Marie Petersen, Taught Count: 1, Aprec Avg: 41.18%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI356, Instructor: Philip Eric Washbourne, Taught Count: 3, Aprec Avg: 35.80%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI356, Instructor: Lisa A. Wagner, Taught Count: 1, Aprec Avg: 30.23%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI357, Instructor: Cynthia D. Trowbridge, Taught Count: 1, Aprec Avg: 36.07%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI357, Instructor: Marley Anne Jarvis, Taught Count: 1, Aprec Avg: 30.91%, Failprec Avg: 3.64%, Faculty Status: 0
Course: BI357, Instructor: Michelle Wood, Taught Count: 1, Aprec Avg: 65.12%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI357, Instructor: Lisa Marie Munger, Taught Count: 1, Aprec Avg: 73.61%, Failprec Avg: 1.40%, Faculty Status: 0
Course: BI358, Instructor: Vincent P. Lombardi, Taught Count: 4, Aprec Avg: 55.29%, Failprec Avg: 0.67%, Faculty Status: 0
Course: BI359, Instructor: Matthew A. Streisfeld, Taught Count: 4, Aprec Avg: 25.20%, Failprec Avg: 7.59%, Faculty Status: 1
Course: BI360, Instructor: Nathan Tublitz, Taught Count: 4, Aprec Avg: 24.49%, Failprec Avg: 6.54%, Faculty Status: 1
Course: BI360, Instructor: Hannah Ivy Bishop, Taught Count: 1, Aprec Avg: 33.33%, Failprec Avg: 1.87%, Faculty Status: 0
Course: BI370, Instructor: Laurel Elaine Pfeifer-Meister, Taught Count: 4, Aprec Avg: 31.36%, Failprec Avg: 2.27%, Faculty Status: 0
Course: BI370, Instructor: Barbara Ann Roy, Taught Count: 2, Aprec Avg: 24.76%, Failprec Avg: 2.94%, Faculty Status: 0
Course: BI372, Instructor: Barbara Ann Roy, Taught Count: 2, Aprec Avg: 67.26%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI374, Instructor: Debbie Schlenoff, Taught Count: 5, Aprec Avg: 26.67%, Failprec Avg: 2.00%, Faculty Status: 1
Course: BI375, Instructor: Gabriel Isaac Yospin, Taught Count: 1, Aprec Avg: 42.00%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI380, Instructor: William Emmons Bradshaw, Taught Count: 3, Aprec Avg: 36.75%, Failprec Avg: 4.97%, Faculty Status: 1
Course: BI380, Instructor: David W. Anderson, Taught Count: 1, Aprec Avg: 19.18%, Failprec Avg: 2.74%, Faculty Status: 0
Course: BI380, Instructor: Patrick Carnahan Phillips, Taught Count: 1, Aprec Avg: 22.86%, Failprec Avg: 4.29%, Faculty Status: 1
Course: BI390, Instructor: Debbie Schlenoff, Taught Count: 3, Aprec Avg: 17.75%, Failprec Avg: 4.70%, Faculty Status: 1
Course: BI390, Instructor: Ashley Rogers Robart, Taught Count: 1, Aprec Avg: 64.00%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI399, Instructor: Brian Lynn Bingham, Taught Count: 2, Aprec Avg: 55.40%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI410, Instructor: Alice Barkan, Taught Count: 1, Aprec Avg: 75.00%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI410, Instructor: Janis C. Weeks, Taught Count: 2, Aprec Avg: 47.43%, Failprec Avg: 2.38%, Faculty Status: 1
Course: BI410, Instructor: George F. Sprague, Taught Count: 2, Aprec Avg: 73.33%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI410, Instructor: Peter Brian Wetherwax, Taught Count: 2, Aprec Avg: 54.52%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI410, Instructor: Monte Westerfield, Taught Count: 1, Aprec Avg: 33.33%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI410, Instructor: Roderick A. Capaldi, Taught Count: 2, Aprec Avg: 84.07%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI410, Instructor: John Conery, Taught Count: 4, Aprec Avg: 67.68%, Failprec Avg: 0.01%, Faculty Status: 1
Course: BI410, Instructor: Michelle Wood, Taught Count: 1, Aprec Avg: 78.57%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI410, Instructor: Santiago Jaramillo, Taught Count: 4, Aprec Avg: 65.53%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI410, Instructor: Brendan Bohannan, Taught Count: 1, Aprec Avg: 76.32%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI410, Instructor: Kelly Christine Rakow Sutherland, Taught Count: 1, Aprec Avg: 64.29%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI410, Instructor: Cristopher M. Niell, Taught Count: 1, Aprec Avg: 44.44%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI410, Instructor: Terry Takahashi, Taught Count: 1, Aprec Avg: 43.75%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI410, Instructor: Jeffrey N. McKnight, Taught Count: 1, Aprec Avg: 84.21%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI410, Instructor: Victoria G. Herman, Taught Count: 1, Aprec Avg: 46.67%, Failprec Avg: 0.03%, Faculty Status: 1
Course: BI410, Instructor: Elliott T. Abe, Taught Count: 1, Aprec Avg: 55.56%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI410, Instructor: Yashar Ahmadian Tehrani, Taught Count: 1, Aprec Avg: 22.22%, Failprec Avg: 5.67%, Faculty Status: 0
Course: BI420, Instructor: Javier Fierro, Taught Count: 1, Aprec Avg: 90.91%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI422, Instructor: Philip Eric Washbourne, Taught Count: 3, Aprec Avg: 41.71%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI423, Instructor: Alice Barkan, Taught Count: 2, Aprec Avg: 53.55%, Failprec Avg: 2.08%, Faculty Status: 1
Course: BI424, Instructor: Eric Selker, Taught Count: 2, Aprec Avg: 54.85%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI426, Instructor: Alan James Kelly, Taught Count: 3, Aprec Avg: 41.99%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI427, Instructor: Monte Westerfield, Taught Count: 2, Aprec Avg: 66.45%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI428, Instructor: Bethany Anne Rader, Taught Count: 1, Aprec Avg: 68.75%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI433, Instructor: Karen Jeanne Guillemin, Taught Count: 4, Aprec Avg: 61.07%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI442, Instructor: Tobias Joseph Policha, Taught Count: 3, Aprec Avg: 33.70%, Failprec Avg: 2.78%, Faculty Status: 0
Course: BI448, Instructor: Susan Elizabeth Holmes, Taught Count: 3, Aprec Avg: 41.53%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI451, Instructor: Cynthia D. Trowbridge, Taught Count: 1, Aprec Avg: 60.87%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI451, Instructor: Patrick Kelly Baker, Taught Count: 1, Aprec Avg: 66.67%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI451, Instructor: Richard Emlet, Taught Count: 1, Aprec Avg: 52.38%, Failprec Avg: 0.00%, Faculty Status: 1
Course: BI451, Instructor: Troy Robert Nash, Taught Count: 1, Aprec Avg: 35.00%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI452, Instructor: Melissa A. Scherr, Taught Count: 2, Aprec Avg: 56.09%, Failprec Avg: 2.08%, Faculty Status: 0
Course: BI452, Instructor: Philip A. Schapker, Taught Count: 1, Aprec Avg: 60.00%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI455, Instructor: Douglas R. Warrick, Taught Count: 1, Aprec Avg: 85.71%, Failprec Avg: 0.00%, Faculty Status: 0
Course: BI455, Instructor: Janet Hodder, Taught Count: 1, Aprec Avg: 48.00%, Failprec Avg: 4.00%, Faculty Status: 1
